season,tea_kind,code,replication,polyphenol,FAA,Theanine,caffeine,Gallic Acid,C,GC,EGC,EC,EGCG,GCG,ECG,total_catechins,sample_label
4th,black tea,NA,2,34.09677636,20.54865132,6.556148648,8.956519061,1.173881913,0,0,0,0,0,0,0,0,1
4th,black tea,FS,1,34.33768797,21.13113147,6.343960999,8.979572329,1.190711004,0,0,0,0,0,0,0,0,2
4th,black tea,NA,2,33.66249527,20.85224302,6.316019831,8.942951165,1.19466003,0,0,0,0,0,0,0,0,2
4th,black tea,FS,1,35.28445885,20.32250467,6.218172556,8.929288769,1.184795073,0,0,0,0,0,0,0,0,3
4th,black tea,NA,2,37.1486975,20.01144472,6.216500892,8.929517191,1.169526579,0,0,0,0,0,0,0,0,3
4th,black tea,T8,1,51.79373454,30.6175178,8.892048752,11.20163551,1.818079369,0,0,0,0,0,0,0,0,1
4th,black tea,NA,2,52.37401168,31.49146063,8.612468339,11.2012228,1.802854924,0,0,0,0,0,0,0,0,1
4th,black tea,T8,1,52.09536952,31.11212522,9.826525123,11.3337928,1.841334896,0,0,0,0,0,0,0,0,2
4th,black tea,NA,2,52.99691428,29.80580171,9.519602183,11.50587237,1.85169767,0,0,0,0,0,0,0,0,2
4th,black tea,T8,1,46.85309688,30.59008171,9.316817608,11.12732093,1.804606401,0,0,0,0,0,0,0,0,3
4th,black tea,NA,2,45.38994249,28.97052087,9.079925875,10.29911789,1.679360314,0,0,0,0,0,0,0,0,3
4th,black tea,T12,1,28.61208248,23.4065315,7.394047388,7.427625256,0.945759637,0,0,0,0,0,0,0,0,1
4th,black tea,NA,2,25.91086666,23.35298921,7.331223191,7.479919848,0.962734118,0,0,0,0,0,0,0,0,1
4th,black tea,T12,1,25.95736995,22.94993275,7.346314084,7.368120856,0.958671375,0,0,0,0,0,0,0,0,2
4th,black tea,NA,2,26.28859883,23.09683406,8.214097942,7.359452571,0.944436009,0,0,0,0,0,0,0,0,2
4th,black tea,T12,1,25.93304034,19.74359624,5.653645106,7.873655072,0.975136901,0,0,0,0,0,0,0,0,3
4th,black tea,NA,2,26.86796643,19.50899959,5.665392118,7.945904872,0.988375689,0,0,0,0,0,0,0,0,3
4th,black tea,T18,1,69.08847845,28.17821703,12.61636682,14.37759629,1.887528192,0,0,0,0,0,0,3.705666779,3.705666779,1
4th,black tea,NA,2,67.68223134,27.84616325,12.0499229,14.53695662,2.030838159,0,0,0,0,0,0,3.755454184,3.755454184,1
4th,black tea,T18,1,65.68770513,28.18814284,12.52492492,13.96320357,1.835087614,0,0,0,0,0,0,3.701988905,3.701988905,2
4th,black tea,NA,2,65.90332228,29.94426763,12.43534576,13.86048336,1.796907277,0,0,0,0,0,0,3.671247657,3.671247657,2
4th,black tea,T18,1,62.96895531,29.09308542,12.08073769,13.55852109,1.794880589,0,0,0,0,0,0,3.631594463,3.631594463,3
4th,black tea,NA,2,65.18358485,28.60811969,11.38847755,13.7931486,1.814773933,0,0,0,0,0,0,3.708710135,3.708710135,3
5th,fresh leaves,DP,1,84.79757618,12.1606115,3.546785835,14.48269848,1.006078413,0.707972146,10.39685836,19.72465067,3.733205327,38.74166037,3.485386912,7.458409227,84.24814301,1
5th,fresh leaves,DP,2,85.49284631,10.72926451,3.581434569,14.6256829,1.002819389,0.713145056,10.4236451,19.90868821,3.752176213,40.4244946,3.683184794,7.845317044,86.75065101,1
