year,season,tea_kind,code,sample_label,polyphenol,FAA,Theanine,caffeine,Gallic_Acid,Catechin,GC,EGC,EC,EGCG,GCG,ECG,CG,total_catechins
108,5th,fresh leaves,DP,3,79.82797047,11.14282585,3.401770838,14.12135018,0.803835984,0.725951804,10.38635697,19.1581643,3.615986606,37.85411832,3.6130957,7.200778754,NA,82.55445244
108,5th,fresh leaves,T8,1,109.8562757,13.45009346,5.814714963,22.44426505,1.364618679,0.806378081,7.853643415,14.2701451,2.259782157,58.2976907,4.878238484,9.5485022,NA,97.91438013
108,5th,fresh leaves,T8,2,100.2670754,16.43397423,5.371366263,21.07315892,1.538595138,0.822502959,7.608079828,18.09267425,2.217787465,54.58847861,4.619081762,8.929951315,NA,96.87855619
108,5th,fresh leaves,T8,3,114.871691,16.30213766,4.911398195,22.63279248,1.126093224,0.919935057,8.188424455,16.47446577,2.558260794,61.29900459,5.063936022,9.734153494,NA,104.2381802
108,5th,fresh leaves,T12,1,69.91429785,15.83596461,5.441263758,12.49436188,0.780144276,0.29090493,5.873357742,18.4115925,3.974486047,25.29439855,2.910755015,5.840242265,NA,62.59573704
108,5th,fresh leaves,T12,2,74.11722837,14.52451521,5.302531095,14.00051189,0.820810996,0.291552913,6.124120011,19.91142148,4.020427055,28.86894775,3.203644855,6.386911929,NA,68.80702599
108,5th,fresh leaves,T12,3,72.26614598,14.32010894,4.444261858,12.88694566,0.907719863,0.294676324,5.025611454,16.25108183,3.521284876,26.49597403,2.96910128,6.17233245,NA,60.73006224
108,5th,fresh leaves,T18,1,132.65963,15.27893878,8.658590365,28.227962,1.767480816,2.200841502,13.68360861,19.91827434,5.533586669,62.31336993,7.006064886,13.70534877,NA,124.3610947
108,5th,fresh leaves,T18,2,132.1621845,12.35017563,9.313528405,27.25171353,1.610549442,2.140119471,13.62538045,19.44842587,5.237364357,61.70245955,6.934963009,13.16033854,NA,122.2490513
108,5th,fresh leaves,T18,3,139.9252818,12.27352436,7.9155328,28.22208812,1.433818288,2.251840496,13.36776234,21.2058858,5.436993433,67.06672903,6.995505821,13.93332259,NA,130.2580395
