year,season,date,location,cultivar,sample_label,replication,cutting_height,tea_buds_cm,leaf_number,avg_inter_node,open_plane,buds_weight_100
108,2nd,43598,"9-2, 9-3",DP,1,23,60,5.5,3,1.833333333,1,112
108,2nd,43598,"9-2, 9-3",DP,1,24,60,12.3,4,3.075,0,112
108,2nd,43598,"9-2, 9-3",DP,1,25,60,5.5,3,1.833333333,0,112
108,2nd,43598,"9-2, 9-3",DP,1,26,60,5,3,1.666666667,1,112
108,2nd,43598,"9-2, 9-3",DP,1,27,60,7.2,3,2.4,1,112
108,2nd,43598,"9-2, 9-3",DP,1,28,60,13.8,4,3.45,0,112
108,2nd,43598,"9-2, 9-3",DP,1,29,60,5.7,3,1.9,1,112
108,2nd,43598,"9-2, 9-3",DP,1,30,60,10.2,4,2.55,1,112
108,2nd,43583,5區,FS,2,1,53,19.8,7,2.828571429,0,204
108,2nd,43583,5區,FS,2,2,53,9.2,4,2.3,0,204
108,2nd,43583,5區,FS,2,3,53,8.6,4,2.15,1,204
108,2nd,43583,5區,FS,2,4,53,17.4,7,2.485714286,0,204
108,2nd,43583,5區,FS,2,5,53,26,9,2.888888889,0,204
108,2nd,43583,5區,FS,2,6,53,7.5,4,1.875,1,204
108,2nd,43583,5區,FS,2,7,53,18.7,6,3.116666667,0,204
108,2nd,43583,5區,FS,2,8,53,15.2,4,3.8,0,204
108,2nd,43583,5區,FS,2,9,53,20.1,6,3.35,0,204
108,2nd,43583,5區,FS,2,10,53,25.1,7,3.585714286,0,204
108,2nd,43583,5區,FS,3,11,53,26.2,8,3.275,0,213
108,2nd,43583,5區,FS,3,12,53,16.6,6,2.766666667,0,213
108,2nd,43583,5區,FS,3,13,53,16.4,5,3.28,0,213
108,2nd,43583,5區,FS,3,14,53,25.2,7,3.6,0,213
108,2nd,43583,5區,FS,3,15,53,18,5,3.6,0,213
108,2nd,43583,5區,FS,3,16,53,24.3,7,3.471428571,0,213
108,2nd,43583,5區,FS,3,17,53,9.2,4,2.3,1,213
108,2nd,43583,5區,FS,3,18,53,10.8,3,3.6,0,213
108,2nd,43583,5區,FS,3,19,53,19.3,6,3.216666667,0,213
108,2nd,43583,5區,FS,3,20,53,6.6,3,2.2,0,213
108,2nd,43583,5區,FS,1,21,53,16.3,5,3.26,0,211
108,2nd,43583,5區,FS,1,22,53,11,5,2.2,0,211
108,2nd,43583,5區,FS,1,23,53,14.4,5,2.88,0,211
108,2nd,43583,5區,FS,1,24,53,11.6,3,3.866666667,0,211
108,2nd,43583,5區,FS,1,25,53,23,7,3.285714286,0,211
108,2nd,43583,5區,FS,1,26,53,12.3,4,3.075,0,211
108,2nd,43583,5區,FS,1,27,53,20.2,6,3.366666667,0,211
108,2nd,43583,5區,FS,1,28,53,3.5,3,1.166666667,1,211
108,2nd,43583,5區,FS,1,29,53,8,4,2,1,211
108,2nd,43583,5區,FS,1,30,53,13.4,5,2.68,0,211
108,3rd,43652,10月2日,T8,1,9,67,1.2,1,1.2,0,149.9
108,3rd,43652,10月2日,T8,1,4,67,1.4,2,0.7,1,149.9
108,3rd,43652,10月2日,T8,1,8,67,2.1,2,1.05,1,149.9
108,3rd,43652,10月2日,T8,1,1,67,6.8,4,1.7,1,149.9
108,3rd,43652,10月2日,T8,1,7,67,7,3,2.333333333,1,149.9
108,3rd,43652,10月2日,T8,1,3,67,7.6,4,1.9,1,149.9
108,3rd,43652,10月2日,T8,1,5,67,8.9,4,2.225,1,149.9
108,3rd,43652,10月2日,T8,1,2,67,9.5,4,2.375,0,149.9
108,3rd,43652,10月2日,T8,1,10,67,9.6,4,2.4,1,149.9
108,3rd,43652,10月2日,T8,1,6,67,13,5,2.6,1,149.9
108,3rd,43652,10月2日,T8,2,11,67,4.1,2,2.05,1,127.8
108,3rd,43652,10月2日,T8,2,12,67,19.3,7,2.757142857,0,127.8
108,3rd,43652,10月2日,T8,2,13,67,3.1,2,1.55,1,127.8
108,3rd,43652,10月2日,T8,2,14,67,3.7,3,1.233333333,1,127.8
108,3rd,43652,10月2日,T8,2,15,67,11.1,4,2.775,0,127.8
108,3rd,43652,10月2日,T8,2,16,67,4.1,3,1.366666667,1,127.8
108,3rd,43652,10月2日,T8,2,17,67,3.1,2,1.55,1,127.8
108,3rd,43652,10月2日,T8,2,18,67,3.4,3,1.133333333,1,127.8
108,3rd,43652,10月2日,T8,2,19,67,1.6,2,0.8,1,127.8
108,3rd,43652,10月2日,T8,2,20,67,9.3,4,2.325,1,127.8
108,3rd,43652,10月2日,T8,3,21,67,4.4,3,1.466666667,1,162.1
108,3rd,43652,10月2日,T8,3,22,67,9.1,5,1.82,1,162.1
108,3rd,43652,10月2日,T8,3,23,67,10.5,4,2.625,1,162.1
108,3rd,43652,10月2日,T8,3,24,67,7,3,2.333333333,1,162.1
108,3rd,43652,10月2日,T8,3,25,67,12.1,5,2.42,1,162.1
108,3rd,43652,10月2日,T8,3,26,67,12.4,5,2.48,1,162.1
108,3rd,43652,10月2日,T8,3,27,67,5,2,2.5,1,162.1
108,3rd,43652,10月2日,T8,3,28,67,2.6,2,1.3,1,162.1
108,3rd,43652,10月2日,T8,3,29,67,11.2,5,2.24,1,162.1
108,3rd,43652,10月2日,T8,3,30,67,5,3,1.666666667,1,162.1
108,3rd,43635,6-3、6-4,T12,1,1,57,19.7,7,2.814285714,0,122
108,3rd,43635,6-3、6-4,T12,1,2,57,8.7,6,1.45,0,122
108,3rd,43635,6-3、6-4,T12,1,3,57,7.3,3,2.433333333,0,122
108,3rd,43635,6-3、6-4,T12,1,4,57,9.5,6,1.583333333,0,122
108,3rd,43635,6-3、6-4,T12,1,5,57,11.5,5,2.3,0,122
108,3rd,43635,6-3、6-4,T12,1,6,57,14,7,2,0,122
108,3rd,43635,6-3、6-4,T12,1,7,57,10,5,2,1,122
108,3rd,43635,6-3、6-4,T12,1,8,57,10.5,7,1.5,0,122
108,3rd,43635,6-3、6-4,T12,1,9,57,4.8,5,0.96,1,122
108,3rd,43635,6-3、6-4,T12,1,10,57,16.7,6,2.783333333,0,122
108,3rd,43635,6-3、6-4,T12,2,11,57,7.9,5,1.58,1,118
108,3rd,43635,6-3、6-4,T12,2,12,57,13.7,5,2.74,0,118
108,3rd,43635,6-3、6-4,T12,2,13,57,8.1,6,1.35,1,118
108,3rd,43635,6-3、6-4,T12,2,14,57,8,5,1.6,1,118
108,3rd,43635,6-3、6-4,T12,2,15,57,18.8,6,3.133333333,0,118
108,3rd,43635,6-3、6-4,T12,2,16,57,11.5,4,2.875,0,118
108,3rd,43635,6-3、6-4,T12,2,17,57,10.2,6,1.7,0,118
108,3rd,43635,6-3、6-4,T12,2,18,57,15.7,7,2.242857143,0,118
108,3rd,43635,6-3、6-4,T12,2,19,57,7,5,1.4,0,118
108,3rd,43635,6-3、6-4,T12,2,20,57,8,6,1.333333333,0,118
108,3rd,43635,6-3、6-4,T12,3,21,57,20.6,7,2.942857143,0,165.5
108,3rd,43635,6-3、6-4,T12,3,22,57,15,7,2.142857143,0,165.5
