"date","cultivar","location","season","cutting_height","replication","tea_buds_cm","leaf_number","avg_inter_node","open_plane","buds_weight_100","sample_label"
"43976","台茶12號","6區","第三水",57,"9",4.8,3,1.6,0,72.1,"茶菁1"
"43976","台茶12號","6區","第三水",57,"10",5.4,4,1.35,0,72.1,"茶菁1"
"43976","台茶12號","6區","第三水",57,"11",12.2,5,2.44,0,76,"茶菁2"
"43976","台茶12號","6區","第三水",57,"12",6.9,3,2.3,0,76,"茶菁2"
"43976","台茶12號","6區","第三水",57,"13",10.4,5,2.08,0,76,"茶菁2"
"43976","台茶12號","6區","第三水",57,"14",7.5,3,2.5,0,76,"茶菁2"
"43976","台茶12號","6區","第三水",57,"15",7.1,4,1.775,0,76,"茶菁2"
"43976","台茶12號","6區","第三水",57,"16",13.7,5,2.74,0,76,"茶菁2"
"43976","台茶12號","6區","第三水",57,"17",9.9,5,1.98,0,76,"茶菁2"
"43976","台茶12號","6區","第三水",57,"18",7.5,4,1.875,0,76,"茶菁2"
"43976","台茶12號","6區","第三水",57,"19",12.1,5,2.42,0,76,"茶菁2"
"43976","台茶12號","6區","第三水",57,"20",2,2,1,0,76,"茶菁2"
"43976","台茶12號","6區","第三水",57,"21",7.3,3,2.43333333333333,0,64.3,"茶菁3"
"43976","台茶12號","6區","第三水",57,"22",4.1,3,1.36666666666667,0,64.3,"茶菁3"
"43976","台茶12號","6區","第三水",57,"23",8.9,5,1.78,0,64.3,"茶菁3"
"43976","台茶12號","6區","第三水",57,"24",5.5,3,1.83333333333333,0,64.3,"茶菁3"
"43976","台茶12號","6區","第三水",57,"25",12.6,4,3.15,0,64.3,"茶菁3"
"43976","台茶12號","6區","第三水",57,"26",10.2,4,2.55,0,64.3,"茶菁3"
"43976","台茶12號","6區","第三水",57,"27",6.3,4,1.575,0,64.3,"茶菁3"
"43976","台茶12號","6區","第三水",57,"28",10.4,5,2.08,0,64.3,"茶菁3"
"43976","台茶12號","6區","第三水",57,"29",6.5,3,2.16666666666667,0,64.3,"茶菁3"
"43976","台茶12號","6區","第三水",57,"30",8.5,5,1.7,0,64.3,"茶菁3"
"43984","四季春","5區","第三水",59,"1",4.5,4,1.125,0,127.2,"茶菁1"
"43984","四季春","5區","第三水",59,"2",8.3,4,2.075,0,127.2,"茶菁1"
"43984","四季春","5區","第三水",59,"3",14.3,7,2.04285714285714,1,127.2,"茶菁1"
"43984","四季春","5區","第三水",59,"4",13.5,5,2.7,0,127.2,"茶菁1"
"43984","四季春","5區","第三水",59,"5",10.7,5,2.14,0,127.2,"茶菁1"
"43984","四季春","5區","第三水",59,"6",10.8,4,2.7,0,127.2,"茶菁1"
"43984","四季春","5區","第三水",59,"7",11.3,5,2.26,0,127.2,"茶菁1"
"43984","四季春","5區","第三水",59,"8",10.8,4,2.7,0,127.2,"茶菁1"
"43984","四季春","5區","第三水",59,"9",12.4,5,2.48,0,127.2,"茶菁1"
"43984","四季春","5區","第三水",59,"10",10.7,5,2.14,0,127.2,"茶菁1"
"43984","四季春","5區","第三水",59,"11",10.6,4,2.65,0,131,"茶菁2"
"43984","四季春","5區","第三水",59,"12",17,5,3.4,0,131,"茶菁2"
"43984","四季春","5區","第三水",59,"13",7.1,3,2.36666666666667,0,131,"茶菁2"
"43984","四季春","5區","第三水",59,"14",7.7,4,1.925,0,131,"茶菁2"
"43984","四季春","5區","第三水",59,"15",9,4,2.25,0,131,"茶菁2"
"43984","四季春","5區","第三水",59,"16",13.7,4,3.425,0,131,"茶菁2"
"43984","四季春","5區","第三水",59,"17",14.2,5,2.84,0,131,"茶菁2"
