"","year","season","date","location","cultivar","sample_label","replication","cutting_height","tea_buds_cm","leaf_number","avg_inter_node","open_plane","buds_weight_100"
"127",109,"5th","44088","10_1","DP",1,5.5,59,8.81,4.1,15.6350000003,0.3,98.2
"128",109,"5th","44088","10_1","DP",2,15.5,59,9.09,4.2,16.4778571432,0.4,100.6
"129",109,"5th","44088","10_1","DP",3,25.5,59,8.91,4.3,14.6516666676,0.4,92.5
"130",109,"5th","44116","10-2,10-3","T8",1,5.5,65,3.66,3.2,21.883333335,0.3,84
"131",109,"5th","44116","10-2,10-3","T8",2,15.5,65,4.48,3.7,18.091666668,0.4,90
"132",109,"5th","44116","10-2,10-3","T8",3,25.5,65,4.6,4,17.766666667,0.2,107.5
"133",109,"5th","44130","23","T18",1,5.5,64,4.46,3.8,17.279999999,0.2,83.8
"134",109,"5th","44130","23","T18",2,15.5,64,3.54,3.4,19.199999998,0.5,73.7
"135",109,"5th","44130","23","T18",3,25.5,64,4.45,3.8,18.026666666,0.2,73.5
"136",109,"6th","44139","9_1","T12",1,5.5,57,12.83,5.5,10.5992857143,0.5,106.1
"137",109,"6th","44139","9_1","T12",2,15.5,57,9.9,4.9,11.78,0.9,70.3
"138",109,"6th","44139","9_1","T12",3,25.5,57,11.08,5.6,10.6467857143,0.6,87
"139",109,"6th","44159","12","T18",1,5.5,64,4.5,4.4,14.72,0.5,31.2
"140",109,"6th","44159","12","T18",2,15.5,64,4.07,4.1,15.893333333,0.3,33.4
"141",109,"6th","44159","12","T18",3,25.5,64,5.52,4.2,15.573333333,0.2,32
"142",109,"6th","44165","11_2","T8",1,5.5,71,8.92,4.9,14.859285714,0.4,67.2
"143",109,"6th","44165","11_2","T8",2,15.5,71,8.33,4.5,15.975,0.8,80.3
"144",109,"6th","44165","11_2","T8",3,25.5,71,6.68,4.1,17.868333334,0.3,65.5
"145",109,"7th","44181","5-1,5-2","FS",1,5.5,61,9.31,4.5,13.725,1,143.8
"146",109,"7th","44181","5-1,5-2","FS",2,15.5,61,15.88,4.3,14.335,1,153.8
"147",109,"7th","44181","5-1,5-2","FS",3,25.5,61,8.85,4.4,14.233333333,1,162.2
